timepoint_id,person,ChEBI,val
03-087-GMA-41M,03-087-GMA,62346,0.298813030
03-090-GMA-06M,03-090-GMA,16414,0.037226960
03-094-GMA-06M,03-094-GMA,16414,0.068863762
03-096-GMA-18M,03-096-GMA,15903,0.929837000
03-096-GMA-18M,03-096-GMA,18050,0.255205751
03-108-GMA-30M,03-108-GMA,16199,0.306299548
02-019-GMA-29M-IT1,02-019-GMA,16977,0.402121783
02-020-GMA-12M,02-020-GMA,18019,0.074533010
03-110-GMA-37M-IT1,03-110-GMA,30772,0.235377285
03-119-GMA-7M,03-119-GMA,47937,1.001348188
03-124-GMA-06M,03-124-GMA,16199,0.015082769
03-128-GMA-24M,03-128-GMA,16414,0.068309494
03-131-GMA-06M,03-131-GMA,23956,0.166536920
02-019-GMA-28M-IT0,02-019-GMA,16199,0.146422605
02-019-GMA-28M-IT0,02-019-GMA,62064,0.088253675
02-019-GMA-28M-IT0,02-019-GMA,60645,0.228125191
02-019-GMA-28M-IT0,02-019-GMA,32796,0.066482985
02-019-GMA-28M-IT0,02-019-GMA,59783,0.116621444
02-019-GMA-28M-IT0,02-019-GMA,36632,0.030967342
02-019-GMA-28M-IT0,02-019-GMA,68454,0.063125979
02-019-GMA-28M-IT0,02-019-GMA,33033,0.043288388
02-019-GMA-28M-IT0,02-019-GMA,17066,0.103692160
02-019-GMA-28M-IT0,02-019-GMA,15614,0.073678407
02-019-GMA-28M-IT0,02-019-GMA,25998,0.068393623
02-019-GMA-28M-IT0,02-019-GMA,15366,0.221445702
02-019-GMA-28M-IT0,02-019-GMA,15344,0.086246500
02-019-GMA-28M-IT0,02-019-GMA,16977,0.150968680
02-019-GMA-28M-IT0,02-019-GMA,37741,0.236031189
02-019-GMA-28M-IT0,02-019-GMA,17475,0.022057290
02-019-GMA-28M-IT0,02-019-GMA,40886,1.202733618
02-019-GMA-28M-IT0,02-019-GMA,18333,0.048803945
02-019-GMA-28M-IT0,02-019-GMA,17196,0.033894949
02-019-GMA-28M-IT0,02-019-GMA,17053,0.279966251
02-019-GMA-28M-IT0,02-019-GMA,30746,0.038776284
02-019-GMA-28M-IT0,02-019-GMA,30772,0.241018941
02-019-GMA-28M-IT0,02-019-GMA,36217,0.551340199
02-019-GMA-28M-IT0,02-019-GMA,16755,0.001411825
02-019-GMA-28M-IT0,02-019-GMA,16359,0.002248469
02-019-GMA-28M-IT0,02-019-GMA,28834,0.020711866
02-019-GMA-28M-IT0,02-019-GMA,15866,0.081566163
02-019-GMA-28M-IT0,02-019-GMA,28816,0.281243674
02-019-GMA-28M-IT0,02-019-GMA,32980,0.049946633
02-019-GMA-28M-IT0,02-019-GMA,16016,0.115501025
02-019-GMA-28M-IT0,02-019-GMA,23956,0.121764268
02-019-GMA-28M-IT0,02-019-GMA,16469,0.058422342
02-019-GMA-28M-IT0,02-019-GMA,28645,0.394028638
02-019-GMA-28M-IT0,02-019-GMA,42548,0.028660597
02-019-GMA-28M-IT0,02-019-GMA,16813,0.208662097
02-019-GMA-28M-IT0,02-019-GMA,28061,2.063503990
02-019-GMA-28M-IT0,02-019-GMA,47962,0.028274532
02-019-GMA-28M-IT0,02-019-GMA,30778,0.051978665
02-019-GMA-28M-IT0,02-019-GMA,33198,0.161315140
02-019-GMA-28M-IT0,02-019-GMA,15903,0.965570893
02-019-GMA-28M-IT0,02-019-GMA,18050,0.212604975
02-019-GMA-28M-IT0,02-019-GMA,32398,0.183061330
02-019-GMA-28M-IT0,02-019-GMA,17754,1.084680653
02-019-GMA-28M-IT0,02-019-GMA,15428,1.560895223
02-019-GMA-28M-IT0,02-019-GMA,36274,0.000157125
02-019-GMA-28M-IT0,02-019-GMA,17687,0.000113593
02-019-GMA-28M-IT0,02-019-GMA,27471,0.000137775
02-019-GMA-28M-IT0,02-019-GMA,17497,0.132550012
02-019-GMA-28M-IT0,02-019-GMA,89929,0.000137786
02-019-GMA-28M-IT0,02-019-GMA,87753,0.023683898
02-019-GMA-28M-IT0,02-019-GMA,32365,0.068717444
02-019-GMA-28M-IT0,02-019-GMA,45571,0.025478716
02-019-GMA-28M-IT0,02-019-GMA,30832,0.048496168
02-019-GMA-28M-IT0,02-019-GMA,30776,0.003157597
02-019-GMA-28M-IT0,02-019-GMA,NA,0.026415797
02-019-GMA-28M-IT0,02-019-GMA,19641,0.139593901
02-019-GMA-28M-IT0,02-019-GMA,NA,0.000158295
02-019-GMA-28M-IT0,02-019-GMA,16135,0.053417430
02-019-GMA-28M-IT0,02-019-GMA,17191,0.038478454
02-019-GMA-28M-IT0,02-019-GMA,28484,0.056858461
02-019-GMA-28M-IT0,02-019-GMA,48430,0.084263066
02-019-GMA-28M-IT0,02-019-GMA,422,0.161968890
02-019-GMA-28M-IT0,02-019-GMA,36219,0.808759898
02-019-GMA-28M-IT0,02-019-GMA,6359,0.122981564
02-019-GMA-28M-IT0,02-019-GMA,30997,0.051183787
02-019-GMA-28M-IT0,02-019-GMA,16325,0.000479174
02-019-GMA-28M-IT0,02-019-GMA,48092,0.029185193
02-019-GMA-28M-IT0,02-019-GMA,18019,0.113706481
02-019-GMA-28M-IT0,02-019-GMA,30797,0.183023895
02-019-GMA-28M-IT0,02-019-GMA,68428,0.056518035
02-019-GMA-28M-IT0,02-019-GMA,47937,0.452040411
02-019-GMA-28M-IT0,02-019-GMA,32800,0.043851028
02-019-GMA-28M-IT0,02-019-GMA,16899,0.020123360
02-019-GMA-28M-IT0,02-019-GMA,28085,0.150164380
02-019-GMA-28M-IT0,02-019-GMA,28729,0.335736538
02-019-GMA-28M-IT0,02-019-GMA,16643,0.084427893
02-019-GMA-28M-IT0,02-019-GMA,91316,0.047050394
02-019-GMA-28M-IT0,02-019-GMA,17268,0.095481206
02-019-GMA-28M-IT0,02-019-GMA,28037,0.148942347
02-019-GMA-28M-IT0,02-019-GMA,506227,0.259059571
02-019-GMA-28M-IT0,02-019-GMA,NA,0.084735952
02-019-GMA-28M-IT0,02-019-GMA,15756,0.030742060
02-019-GMA-28M-IT0,02-019-GMA,46905,0.032407584
02-019-GMA-28M-IT0,02-019-GMA,17418,0.361225385
02-019-GMA-28M-IT0,02-019-GMA,17295,0.102058521
02-019-GMA-28M-IT0,02-019-GMA,26078,0.861814456
02-019-GMA-28M-IT0,02-019-GMA,17203,0.047042822
02-019-GMA-28M-IT0,02-019-GMA,30768,0.181158520
02-019-GMA-28M-IT0,02-019-GMA,28972,0.132970351
02-019-GMA-28M-IT0,02-019-GMA,18183,0.231052211
02-019-GMA-28M-IT0,02-019-GMA,62346,0.155024888
02-019-GMA-28M-IT0,02-019-GMA,15963,0.118476401
02-019-GMA-28M-IT0,02-019-GMA,21077,0.188161459
02-019-GMA-28M-IT0,02-019-GMA,47013,1.161568776
02-019-GMA-28M-IT0,02-019-GMA,41865,0.019577732
02-019-GMA-28M-IT0,02-019-GMA,17115,0.193502605
02-019-GMA-28M-IT0,02-019-GMA,17924,10.464565740
02-019-GMA-28M-IT0,02-019-GMA,15741,0.266251317
02-019-GMA-28M-IT0,02-019-GMA,17992,0.034434689
02-019-GMA-28M-IT0,02-019-GMA,49092,0.041076605
02-019-GMA-28M-IT0,02-019-GMA,15671,0.057471454
02-019-GMA-28M-IT0,02-019-GMA,28865,0.000283189
02-019-GMA-28M-IT0,02-019-GMA,9410,0.000479277
02-019-GMA-28M-IT0,02-019-GMA,NA,0.000239621
02-019-GMA-28M-IT0,02-019-GMA,15908,0.207969377
02-019-GMA-28M-IT0,02-019-GMA,16857,0.032202069
02-019-GMA-28M-IT0,02-019-GMA,23956,0.075042736
02-019-GMA-28M-IT0,02-019-GMA,27607,0.140696872
02-019-GMA-28M-IT0,02-019-GMA,32528,0.139047286
02-019-GMA-28M-IT0,02-019-GMA,17748,0.045157368
02-019-GMA-28M-IT0,02-019-GMA,16704,0.045740465
02-019-GMA-28M-IT0,02-019-GMA,9907,0.001021046
02-019-GMA-28M-IT0,02-019-GMA,17418,0.071093684
02-019-GMA-28M-IT0,02-019-GMA,16414,0.030570514
02-019-GMA-28M-IT0,02-019-GMA,1305691,0.300933823
02-019-GMA-28M-IT0,02-019-GMA,53455,0.762240220
02-019-GMA-29M-IT1,02-019-GMA,62064,0.092083044
02-019-GMA-29M-IT1,02-019-GMA,60645,0.624098696
02-019-GMA-29M-IT1,02-019-GMA,32796,0.172802443
03-110-GMA-37M-IT1,03-110-GMA,36217,3.456981568
02-019-GMA-29M-IT1,02-019-GMA,59783,0.212415077
02-019-GMA-29M-IT1,02-019-GMA,36632,0.044354790
02-019-GMA-29M-IT1,02-019-GMA,68454,0.064665055
02-019-GMA-29M-IT1,02-019-GMA,33033,0.066251510
02-019-GMA-29M-IT1,02-019-GMA,17066,0.153733723
02-019-GMA-29M-IT1,02-019-GMA,15614,0.155302975
02-019-GMA-29M-IT1,02-019-GMA,25998,0.128172341
02-019-GMA-29M-IT1,02-019-GMA,15366,0.195785381
02-019-GMA-29M-IT1,02-019-GMA,15344,0.115226452
02-019-GMA-29M-IT1,02-019-GMA,37741,0.335355325
02-019-GMA-29M-IT1,02-019-GMA,17475,0.077655667
02-019-GMA-29M-IT1,02-019-GMA,40886,0.626809639
02-019-GMA-29M-IT1,02-019-GMA,18333,0.086565905
02-019-GMA-29M-IT1,02-019-GMA,17196,0.062508061
02-019-GMA-29M-IT1,02-019-GMA,17053,0.454661576
02-019-GMA-29M-IT1,02-019-GMA,30746,0.058550314
02-019-GMA-29M-IT1,02-019-GMA,30772,0.321383278
02-019-GMA-29M-IT1,02-019-GMA,36217,1.252189085
02-019-GMA-29M-IT1,02-019-GMA,16755,0.001754325
02-019-GMA-29M-IT1,02-019-GMA,16359,0.005733381
02-019-GMA-29M-IT1,02-019-GMA,28834,0.011268483
02-019-GMA-29M-IT1,02-019-GMA,15866,0.149488688
02-019-GMA-29M-IT1,02-019-GMA,28816,0.379076086
02-019-GMA-29M-IT1,02-019-GMA,32980,0.064127617
02-019-GMA-29M-IT1,02-019-GMA,16016,0.166769990
02-019-GMA-29M-IT1,02-019-GMA,23956,0.212063491
02-019-GMA-29M-IT1,02-019-GMA,16469,0.107655983
02-019-GMA-29M-IT1,02-019-GMA,28645,0.488665021
02-019-GMA-29M-IT1,02-019-GMA,42548,0.052108572
02-019-GMA-29M-IT1,02-019-GMA,16813,0.295630141
02-019-GMA-29M-IT1,02-019-GMA,28061,0.723048893
02-019-GMA-29M-IT1,02-019-GMA,47962,0.059209034
02-019-GMA-29M-IT1,02-019-GMA,30778,0.134154686
02-019-GMA-29M-IT1,02-019-GMA,33198,0.316745822
02-019-GMA-29M-IT1,02-019-GMA,15903,1.716663805
02-019-GMA-29M-IT1,02-019-GMA,18050,1.198844257
02-019-GMA-29M-IT1,02-019-GMA,32398,0.152081909
02-019-GMA-29M-IT1,02-019-GMA,17754,0.631237444
02-019-GMA-29M-IT1,02-019-GMA,15428,0.903236634
02-019-GMA-29M-IT1,02-019-GMA,36274,0.000623333
02-019-GMA-29M-IT1,02-019-GMA,17687,0.000236070
02-019-GMA-29M-IT1,02-019-GMA,27471,0.000571436
02-019-GMA-29M-IT1,02-019-GMA,17497,0.129631704
02-019-GMA-29M-IT1,02-019-GMA,89929,0.000466784
02-019-GMA-29M-IT1,02-019-GMA,87753,0.043808639
02-019-GMA-29M-IT1,02-019-GMA,32365,0.147813547
02-019-GMA-29M-IT1,02-019-GMA,45571,0.054185587
02-019-GMA-29M-IT1,02-019-GMA,30832,0.094495117
02-019-GMA-29M-IT1,02-019-GMA,30776,0.004240704
02-019-GMA-29M-IT1,02-019-GMA,NA,0.041983995
02-019-GMA-29M-IT1,02-019-GMA,19641,0.190775340
02-019-GMA-29M-IT1,02-019-GMA,NA,0.002171161
02-019-GMA-29M-IT1,02-019-GMA,16135,0.043078931
02-019-GMA-29M-IT1,02-019-GMA,17191,0.053726559
02-019-GMA-29M-IT1,02-019-GMA,28484,0.060935238
02-019-GMA-29M-IT1,02-019-GMA,48430,0.153097495
02-019-GMA-29M-IT1,02-019-GMA,422,0.200015550
02-019-GMA-29M-IT1,02-019-GMA,36219,1.395778576
02-019-GMA-29M-IT1,02-019-GMA,6359,0.219396296
02-019-GMA-29M-IT1,02-019-GMA,30997,0.060802647
02-019-GMA-29M-IT1,02-019-GMA,16325,0.000980981
02-019-GMA-29M-IT1,02-019-GMA,48092,0.041757487
02-019-GMA-29M-IT1,02-019-GMA,18019,0.128781937
02-019-GMA-29M-IT1,02-019-GMA,30797,0.319032985
02-019-GMA-29M-IT1,02-019-GMA,68428,0.118460023
02-019-GMA-29M-IT1,02-019-GMA,47937,0.802303411
02-019-GMA-29M-IT1,02-019-GMA,32800,0.106733319
02-019-GMA-29M-IT1,02-019-GMA,16899,0.040212186
02-019-GMA-29M-IT1,02-019-GMA,28085,0.240225701
02-019-GMA-29M-IT1,02-019-GMA,28729,0.546148775
02-019-GMA-29M-IT1,02-019-GMA,16643,0.171785776
02-019-GMA-29M-IT1,02-019-GMA,91316,0.107346500
02-019-GMA-29M-IT1,02-019-GMA,17268,0.154189936
02-019-GMA-29M-IT1,02-019-GMA,28037,0.246706896
02-019-GMA-29M-IT1,02-019-GMA,506227,0.511972778
02-019-GMA-29M-IT1,02-019-GMA,NA,0.160532162
02-019-GMA-29M-IT1,02-019-GMA,15756,0.049536314
